input,match,property_id,latitude,longitude,search_url,image_url
707 CLINTON AVE,707 Clinton Ave,13249639,41.8765685,-87.7989646,/IL/Oak-Park/707-Clinton-Ave-60304/home/13249639,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=41.8765685%2C-87.7989646&size=665x441&source=outdoor&client=gme-redfin&signature=lLsnG2LFEDFXUQ7jxL2_X1eJRMs=']
820 S KENILWORTH AVE,820 S Kenilworth Ave,13248923,41.8746766,-87.7968632,/IL/Oak-Park/820-S-Kenilworth-Ave-60304/home/13248923,['https://ssl.cdn-redfin.com/photo/68/mbphoto/762/genMid.09187762_4.jpg']
917 S KENILWORTH AV,917 S Kenilworth Ave,13247026,41.8717073,-87.7968802,/IL/Oak-Park/917-S-Kenilworth-Ave-60304/home/13247026,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=917+S+Kenilworth+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=gDjsOj1akjjWbqIRB56pgJxrFmc=']
623 HIGHLAND AVE,623 Highland Ave,13252453,41.877171,-87.7821634,/IL/Oak-Park/623-Highland-Ave-60304/home/13252453,['https://ssl.cdn-redfin.com/photo/68/mbphoto/491/genMid.10992491_2.jpg']
615 S HIGHLAND AVE,615 Highland Ave,13251885,41.8774683,-87.7821939,/IL/Oak-Park/615-Highland-Ave-60304/home/13251885,['https://ssl.cdn-redfin.com/photo/68/mbphoto/329/genMid.07503329_3.jpg']
1033 S EUCLID AVE,1033 S Euclid Ave,13247099,41.8694345,-87.7929348,/IL/Oak-Park/1033-S-Euclid-Ave-60304/home/13247099,['https://ssl.cdn-redfin.com/photo/68/mbphoto/978/genMid.11992978_0.jpg']
1160 S CLARENCE AVE,1160 Clarence Ave,13247618,41.8665781,-87.7898505,/IL/Oak-Park/1160-Clarence-Ave-60304/home/13247618,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1160+Clarence+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=MC1auZMvtAoYeSMqpGw9zJylucQ=']
1106 S EUCLID,1106 S Euclid Ave,13248312,41.8684789,-87.7923942,/IL/Oak-Park/1106-S-Euclid-Ave-60304/home/13248312,['https://ssl.cdn-redfin.com/photo/68/mbphoto/913/genMid.08178913_2.jpg']
1014 S WESLEY AV,1014 Wesley Ave,13247390,41.8701283,-87.7912126,/IL/Oak-Park/1014-Wesley-Ave-60304/home/13247390,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1014+Wesley+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=ZItN4e6HlS86N1BQF2DnI9APQhI=']
16W572 HILLSIDE LN,,,,,,
539 S HUMPHREY AVE,539 S Humphrey Ave,13252609,41.8785783,-87.7761758,/IL/Oak-Park/539-S-Humphrey-Ave-60304/home/13252609,['https://ssl.cdn-redfin.com/photo/68/mbphoto/886/genMid.10860886_0.jpg']
820 HIGHLAND AVE,820 Highland Ave,13250977,41.8736945,-87.7815406,/IL/Oak-Park/820-Highland-Ave-60304/home/13250977,['https://ssl.cdn-redfin.com/photo/68/mbphoto/356/genMid.08938356_2.jpg']
625 WENONAH AVE,625 Wenonah Ave,12715568,41.8772698,-87.8012717,/IL/Oak-Park/625-Wenonah-Ave-60304/home/12715568,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=625+Wenonah+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=-dAHp4_ggfMnyFy1M4FC_gJILTg=']
1003 S GROVE,1003 S Grove Ave,13248462,41.8703313,-87.7955419,/IL/Oak-Park/1003-S-Grove-Ave-60304/home/13248462,['https://ssl.cdn-redfin.com/photo/68/mbphoto/853/genMid.09404853_2.jpg']
